,sub_region_1,Date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
24,Andaman and Nicobar Islands,2020-03-10,-37.5,-38.0,-11.5,-19.5,-54.0,14.5
25,Andaman and Nicobar Islands,2020-03-11,-15.0,-16.0,-7.0,-2.0,1.0,1.0
26,Andaman and Nicobar Islands,2020-03-12,-10.0,-12.0,-7.0,-3.0,2.5,2.0
27,Andaman and Nicobar Islands,2020-03-13,-12.0,-19.0,-10.5,-3.5,4.5,2.0
28,Andaman and Nicobar Islands,2020-03-14,-17.5,-19.0,-4.5,-7.5,-6.5,6.0
29,Andaman and Nicobar Islands,2020-03-15,-28.0,-32.0,-22.333333333333332,-8.0,-1.0,5.0
30,Andaman and Nicobar Islands,2020-03-16,-18.0,-11.0,-11.0,-7.5,1.0,3.0
31,Andaman and Nicobar Islands,2020-03-17,-25.0,-20.0,-25.0,-13.5,-4.0,4.5
32,Andaman and Nicobar Islands,2020-03-18,-21.5,-20.0,-29.0,-13.0,-12.333333333333334,2.5
33,Andaman and Nicobar Islands,2020-03-19,-16.0,-4.0,-20.5,-14.5,-5.5,1.5
